"PRJDB13521_250_220" "PRJEB36420_220_220" "PRJEB40635_280_250" "PRJEB43933_250_250" "PRJEB59055_240_240" "PRJNA1001021-5k_240_240" "PRJNA1134710_300_300" "PRJNA665460_250_250" "PRJNA718425_280_280" "PRJNA867490_250_250" "PRJNA290145_220_200" "PRJNA558995_250_250" "PRJNA948675_250_250" "PRJNA729807_280_250"
"Order=Rhodobacterales" 0.01 0 0 0 0.073 0 0 0 0 0.002 0 0 0.001 0
"Order=other_Alphaproteobacteria" 0.008 0.002 0.028 0 0.028 0.036 0.014 0.001 0.016 0.057 0.021 0.037 0.016 0.007
"FamilyG=Beijerinckiaceae" 0 0.001 0.001 0 0.015 0.036 0.003 0 0.023 0.028 0.004 0.028 0.002 0.002
"FamilyG=Lichenihabitantaceae" 0.01 0.052 0.007 0.009 0.095 0.159 0.019 0.02 0.117 0.013 0.02 0.028 0.106 0.094
"FamilyG=Methylobacteriaceae" 0.034 0.011 0.001 0.302 0.13 0.064 0.021 0.117 0.007 0.007 0.005 0.006 0.016 0.022
"FamilyG=Methylocystaceae" 0 0 0.001 0 0.005 0.005 0 0 0 0.003 0 0.001 0 0.004
"FamilyG=Rhizobiaceae" 0.021 0.004 0.002 0 0.124 0.007 0.004 0.006 0.002 0.023 0.002 0.001 0 0.001
"FamilyG=Xanthobacteraceae" 0.003 0 0.008 0 0.011 0.002 0.009 0 0.002 0.074 0.003 0.004 0.002 0.001
"FamilyG=other_Hyphomicrobiales" 0.008 0 0.008 0 0.013 0.027 0.016 0.002 0.008 0.024 0.012 0.01 0.008 0.015
"FamilyS=Beijerinckiaceae" 0.001 0.001 0.001 0 0.014 0.055 0.001 0.001 0.022 0.026 0.004 0.022 0.008 0.018
"FamilyS=Lichenihabitantaceae" 0.01 0.052 0.007 0.009 0.104 0.16 0.02 0.02 0.122 0.016 0.026 0.032 0.107 0.093
"FamilyS=Methylobacteriaceae" 0.032 0.011 0.001 0.302 0.129 0.067 0.02 0.117 0.007 0.006 0.006 0.006 0.016 0.022
"FamilyS=Methylocystaceae" 0 0 0 0 0 0.001 0 0 0 0 0 0 0 0.001
"FamilyS=Rhizobiaceae" 0.021 0.004 0.002 0 0.124 0.007 0.004 0.006 0.002 0.023 0.002 0.001 0 0.001
"FamilyS=Xanthobacteraceae" 0.003 0 0.008 0 0.011 0.002 0.009 0 0.002 0.074 0.003 0.004 0.002 0.001
"FamilyS=other_Hyphomicrobiales" 0.009 0.001 0.009 0 0.01 0.008 0.017 0 0.004 0.027 0.006 0.013 0.001 0.003
"GenusG=Enterovirga" 0.001 0 0.001 0.001 0.011 0.001 0.004 0 0 0.002 0.002 0.001 0 0
"GenusG=JAJXWB01" 0 0 0 0 0 0.001 0 0 0 0 0 0 0 0
"GenusG=Lichenibacterium" 0.01 0.049 0.002 0.009 0.078 0.137 0.006 0.02 0.1 0.003 0.013 0.016 0.08 0.085
"GenusG=Lichenifustis" 0 0.002 0.001 0 0.016 0.021 0.007 0 0.01 0.006 0.006 0.003 0.005 0.008
"GenusG=Lichenihabitans" 0 0 0.003 0 0 0 0.005 0 0.006 0.003 0.001 0.007 0 0
"GenusG=Methylobacterium" 0.031 0.011 0 0.301 0.105 0.06 0.01 0.11 0.006 0.004 0.003 0.005 0.016 0.022
"GenusG=RHAL1" 0 0 0 0 0 0.009 0 0 0.005 0.024 0 0.004 0 0.001
"GenusS=Enterovirga" 0 0 0.001 0.001 0.009 0.001 0.004 0 0 0.002 0.002 0.001 0 0
"GenusS=JAJXWB01" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GenusS=Lichenibacterium" 0.01 0.052 0.007 0.009 0.104 0.16 0.02 0.02 0.122 0.016 0.026 0.032 0.107 0.093
"GenusS=Lichenifustis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GenusS=Lichenihabitans" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"GenusS=Methylobacterium" 0.031 0.011 0 0.301 0.105 0.065 0.01 0.117 0.006 0.004 0.003 0.005 0.016 0.022
"GenusS=RHAL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
