"isolate" "size" "contigs" "N50" "GC" "peg" "rna" "repeat" "other" "unique" "hypothetical" "at-" "ta-" "cg-" "gc-" "ac-gt" "ag-ct" "tc-ga" "tg-ca" "aa-tt" "cc-gg"
"27" "seq110" "6306553" "2" "5934299" "0.658668055275203" "6384" "54" "49" "0" "2416" "2557" "0.0438" "0.0127" "0.1354" "0.131" "0.0834" "0.1098" "0.1453" "0.1101" "0.0605" "0.1679"
"28" "seq116" "3393920" "6" "2900221" "0.70526176221007" "3249" "72" "144" "0" "1559" "1263" "0.0321" "0.0096" "0.1486" "0.1507" "0.0865" "0.0933" "0.1136" "0.1111" "0.0509" "0.2037"
"29" "seq98" "5207362" "190" "173529" "0.647456638878677" "5535" "51" "0" "234" "1945" "2809" "0.0442" "0.0135" "0.1243" "0.1265" "0.092" "0.0961" "0.1246" "0.1249" "0.0761" "0.1779"
"30" "seq119" "4273165" "3" "3742103" "0.662614478963485" "4172" "69" "59" "106" "1805" "1782" "0.0418" "0.0125" "0.13" "0.1328" "0.0901" "0.0929" "0.1194" "0.1222" "0.0708" "0.1876"
"31" "seq109" "4018041" "37" "304836" "0.692594987463432" "3882" "54" "0" "72" "2141" "1177" "0.0348" "0.0094" "0.1501" "0.1378" "0.0882" "0.1028" "0.1404" "0.1012" "0.0469" "0.1884"
"32" "seq100" "7299678" "7" "5657126" "0.639922062315625" "7160" "54" "248" "0" "2338" "3231" "0.0497" "0.0155" "0.1263" "0.1193" "0.0893" "0.1011" "0.1424" "0.1166" "0.0702" "0.1696"
"33" "seq95" "5435358" "19" "680706" "0.685249762422345" "5376" "50" "0" "118" "2463" "1907" "0.038" "0.0103" "0.1466" "0.1371" "0.0864" "0.1026" "0.1398" "0.1047" "0.0497" "0.1848"
"34" "seq101" "3746798" "2" "3249455" "0.68095664618162" "3607" "53" "29" "36" "2010" "1077" "0.036" "0.0105" "0.1401" "0.1355" "0.0903" "0.1059" "0.136" "0.1113" "0.0507" "0.1836"
"35" "seq97" "6819047" "40" "543453" "0.67987881129571" "6474" "48" "0" "0" "2290" "2734" "0.0379" "0.0121" "0.141" "0.1346" "0.0918" "0.1006" "0.1329" "0.1112" "0.0519" "0.186"
"36" "seq84" "4373820" "35" "426134" "0.677701946583034" "4310" "52" "0" "26" "2235" "1432" "0.0389" "0.0111" "0.1434" "0.1347" "0.0884" "0.103" "0.1395" "0.1075" "0.0531" "0.1805"
"37" "seq94" "4115407" "46" "440618" "0.613278316025204" "3987" "51" "0" "10" "1887" "1444" "0.0525" "0.0192" "0.117" "0.1151" "0.0958" "0.0981" "0.1332" "0.1273" "0.0878" "0.1539"
"38" "seq115" "4674833" "31" "625205" "0.653269125417423" "4411" "51" "0" "94" "2112" "1558" "0.0438" "0.0151" "0.1366" "0.1274" "0.0938" "0.0971" "0.135" "0.1133" "0.0683" "0.1697"
"39" "seq132" "3794683" "60" "130508" "0.645719700952648" "3823" "44" "0" "0" "1911" "1420" "0.0482" "0.0132" "0.1474" "0.1297" "0.0888" "0.0926" "0.1453" "0.1062" "0.0764" "0.1522"
"40" "seq6" "6106602" "5" "5860510" "0.712114691607542" "6325" "69" "216" "0" "2122" "3287" "0.0274" "0.0088" "0.1566" "0.1402" "0.0958" "0.097" "0.1319" "0.0979" "0.0404" "0.204"
"41" "seq3" "5916175" "199" "127675" "0.705208855383757" "6157" "58" "0" "0" "2152" "3128" "0.0294" "0.0092" "0.1533" "0.136" "0.0973" "0.0928" "0.1303" "0.1002" "0.0459" "0.2056"
"42" "seq2" "5801291" "76" "216247" "0.708154434661231" "5733" "59" "0" "0" "2176" "2670" "0.03" "0.0088" "0.1508" "0.1359" "0.0954" "0.0943" "0.1304" "0.1016" "0.0422" "0.2106"
"43" "seq8" "7523782" "181" "180878" "0.636526365403219" "8063" "48" "0" "0" "2411" "4078" "0.0454" "0.0141" "0.1245" "0.1117" "0.0981" "0.101" "0.1452" "0.1166" "0.0735" "0.1698"
"44" "seq9" "4779716" "235" "47720" "0.66933660494588" "4878" "48" "0" "0" "1991" "2206" "0.039" "0.0116" "0.1343" "0.127" "0.0964" "0.0955" "0.1302" "0.1164" "0.0609" "0.1888"
"45" "seq4" "4836481" "3" "4645778" "0.630736686446199" "4866" "59" "60" "0" "2103" "2018" "0.05" "0.015" "0.13" "0.1122" "0.0969" "0.0963" "0.1489" "0.114" "0.0762" "0.1605"
"46" "seq5" "4671983" "53" "249924" "0.629876269781925" "4671" "49" "0" "0" "2058" "1949" "0.0504" "0.0152" "0.1302" "0.1122" "0.0968" "0.0957" "0.149" "0.114" "0.0768" "0.1598"
"47" "seq7" "4231322" "1" "4231322" "0.631522252383534" "4144" "58" "22" "0" "1992" "1618" "0.0505" "0.0146" "0.1311" "0.1128" "0.0964" "0.0949" "0.1492" "0.114" "0.0761" "0.1603"
"48" "seq92" "4652148" "10" "792945" "0.687752563331743" "4784" "48" "63" "106" "2101" "1981" "0.0363" "0.0107" "0.1472" "0.1293" "0.0856" "0.106" "0.1494" "0.0934" "0.048" "0.194"
"49" "seq147" "5166770" "20" "1032375" "0.685428420463849" "5158" "52" "47" "0" "2334" "1874" "0.0397" "0.0099" "0.1514" "0.1268" "0.0849" "0.1026" "0.1569" "0.0901" "0.0478" "0.19"
"50" "seq151" "4652148" "10" "792945" "0.687752563331743" "4783" "48" "63" "106" "2314" "1679" "0.0363" "0.0107" "0.1472" "0.1293" "0.0856" "0.106" "0.1494" "0.0934" "0.048" "0.194"
"51" "seq114" "2746153" "22" "817445" "0.482718916243924" "2469" "49" "0" "22" "1535" "803" "0.0734" "0.0439" "0.0506" "0.0718" "0.1007" "0.1175" "0.1258" "0.1514" "0.1522" "0.1125"
"52" "seq150" "5409070" "29" "506666" "0.666012702387216" "5442" "46" "34" "0" "2613" "1989" "0.0389" "0.0124" "0.1405" "0.1243" "0.0929" "0.1056" "0.1484" "0.1033" "0.0576" "0.1761"
"53" "seq152" "5388584" "150" "98709" "0.695618923264442" "5663" "49" "0" "0" "2567" "2194" "0.0313" "0.011" "0.1531" "0.1328" "0.096" "0.0979" "0.1385" "0.096" "0.048" "0.1956"
"54" "seq145" "7502080" "463" "33995" "0.730488339545835" "7842" "53" "111" "34" "3018" "3058" "0.0251" "0.0086" "0.1584" "0.1423" "0.0889" "0.0968" "0.1294" "0.0893" "0.0336" "0.2276"
"55" "seq139" "6788375" "1" "6788375" "0.687440808735522" "7614" "64" "343" "0" "2545" "3581" "0.0334" "0.0111" "0.1444" "0.1301" "0.091" "0.106" "0.1425" "0.099" "0.0488" "0.1937"
"56" "seq135" "6286629" "1" "6286629" "0.697739499638677" "6243" "65" "94" "0" "2694" "2306" "0.0342" "0.0102" "0.147" "0.1294" "0.0917" "0.0977" "0.1394" "0.098" "0.0444" "0.208"
"57" "seq153" "5495114" "175" "71746" "0.677857456642392" "6096" "51" "0" "0" "2514" "2754" "0.0349" "0.0124" "0.1396" "0.1261" "0.0919" "0.1076" "0.1436" "0.1009" "0.0528" "0.1903"
"58" "seq154" "6971527" "167" "85536" "0.711063731087895" "7291" "49" "0" "0" "3017" "2797" "0.0302" "0.0092" "0.1517" "0.1399" "0.089" "0.1" "0.1329" "0.0982" "0.0395" "0.2094"
"59" "seq155" "4459488" "112" "64725" "0.710357108259962" "4531" "51" "0" "0" "2311" "1695" "0.0287" "0.0095" "0.1543" "0.1369" "0.0885" "0.1043" "0.1409" "0.0903" "0.0395" "0.2072"
"60" "seq156" "5502493" "46" "251431" "0.674747729240504" "5519" "54" "0" "0" "2606" "1929" "0.038" "0.0124" "0.138" "0.1228" "0.0927" "0.1016" "0.1424" "0.1031" "0.055" "0.1941"
"61" "seq134" "8839022" "8" "7772460" "0.684438165217826" "9908" "94" "901" "180" "3116" "4837" "0.0359" "0.0116" "0.1382" "0.1302" "0.0884" "0.1057" "0.138" "0.1047" "0.0496" "0.1977"
"62" "seq157" "5070401" "114" "350043" "0.699921169942969" "5049" "53" "0" "0" "2569" "1710" "0.0339" "0.0098" "0.1444" "0.1331" "0.0833" "0.1033" "0.1387" "0.0962" "0.0457" "0.2117"
"63" "seq142" "6327435" "203" "182711" "0.71863922742786" "6253" "50" "312" "92" "2774" "2343" "0.028" "0.0087" "0.159" "0.1379" "0.0926" "0.0949" "0.1353" "0.0908" "0.0378" "0.2148"
"64" "seq140" "5539695" "1" "5539695" "0.704468386797468" "5497" "73" "77" "0" "2535" "2070" "0.0299" "0.0103" "0.1507" "0.1366" "0.0901" "0.1033" "0.1371" "0.0956" "0.0423" "0.2042"
"65" "seq143" "5183439" "258" "103303" "0.66537350974903" "5334" "49" "63" "0" "2395" "2129" "0.0407" "0.0135" "0.137" "0.1195" "0.0965" "0.0982" "0.1429" "0.1061" "0.0586" "0.187"
"66" "seq137" "5320575" "40" "626185" "0.677038764355507" "5377" "51" "139" "0" "2416" "2133" "0.0374" "0.0117" "0.1366" "0.1212" "0.0946" "0.1" "0.1411" "0.1049" "0.0535" "0.1989"
"67" "seq136" "4645412" "14" "908384" "0.695967980993882" "4672" "50" "160" "0" "2331" "1728" "0.0329" "0.0102" "0.1442" "0.1244" "0.0957" "0.0947" "0.1372" "0.0986" "0.0477" "0.2143"
"68" "seq148" "4664957" "1" "4664957" "0.666760417428124" "4551" "62" "36" "0" "2440" "1485" "0.042" "0.0123" "0.1382" "0.1178" "0.0931" "0.1002" "0.1502" "0.1024" "0.056" "0.1877"
"69" "seq138" "4456718" "35" "360287" "0.696765734834551" "4361" "48" "147" "10" "2271" "1603" "0.0324" "0.0101" "0.1461" "0.1265" "0.097" "0.0959" "0.138" "0.0997" "0.0455" "0.2089"
"70" "seq141" "6542583" "1" "6542583" "0.706270291106739" "6377" "112" "148" "12" "2742" "2375" "0.0306" "0.0101" "0.1503" "0.1343" "0.0902" "0.1001" "0.1367" "0.0947" "0.0421" "0.2108"
"71" "seq133" "7737025" "3" "7659055" "0.715024831895981" "8093" "81" "470" "52" "3044" "3527" "0.0295" "0.0094" "0.1526" "0.1392" "0.086" "0.1" "0.1336" "0.0927" "0.0398" "0.2171"
"72" "seq159" "5547687" "57" "333922" "0.680704769393082" "5616" "53" "0" "0" "2642" "2097" "0.0377" "0.0115" "0.1434" "0.1252" "0.0916" "0.0993" "0.1437" "0.0995" "0.053" "0.195"
"73" "seq146" "5395646" "1" "5395646" "0.693610922584617" "5305" "68" "52" "0" "2789" "1584" "0.0339" "0.0102" "0.1487" "0.1324" "0.0895" "0.1008" "0.1408" "0.0969" "0.0482" "0.1985"
"74" "seq158" "5163180" "424" "20059" "0.697419226135831" "5548" "46" "0" "0" "2556" "2101" "0.0315" "0.011" "0.1434" "0.1294" "0.0931" "0.0999" "0.1345" "0.0996" "0.0465" "0.2111"
"75" "seq144" "9631051" "6" "5843140" "0.626696608708645" "10380" "76" "828" "0" "2865" "4734" "0.0467" "0.0162" "0.1122" "0.1085" "0.0932" "0.1128" "0.1471" "0.12" "0.0738" "0.1694"
"76" "seq149" "4403107" "1" "4403107" "0.640125938343084" "4299" "62" "64" "0" "2261" "1291" "0.0452" "0.0157" "0.1169" "0.1099" "0.0894" "0.11" "0.1464" "0.1119" "0.0701" "0.1846"
"77" "seq113" "3342556" "107" "57950" "0.634230211849854" "3677" "49" "0" "0" "1808" "1570" "0.0505" "0.0171" "0.1471" "0.1322" "0.0753" "0.0989" "0.1472" "0.0938" "0.0907" "0.1473"
"78" "seq108" "4715351" "2" "4540773" "0.631968012561525" "4997" "51" "178" "0" "1872" "2657" "0.0449" "0.0156" "0.1359" "0.1253" "0.081" "0.1101" "0.15" "0.0997" "0.0871" "0.1503"
"79" "seq167" "5326437" "11" "4211429" "0.638773724348941" "5621" "58" "0" "168" "2190" "2606" "0.0457" "0.0149" "0.1365" "0.1259" "0.0854" "0.102" "0.1434" "0.1056" "0.0823" "0.1582"
"80" "seq91" "4727788" "3" "4551947" "0.63021607567852" "4821" "59" "136" "24" "1912" "2494" "0.0466" "0.0168" "0.1313" "0.1207" "0.0815" "0.1042" "0.1447" "0.1006" "0.0909" "0.1628"
"81" "seq90" "4213043" "4" "3776027" "0.62427513794661" "4663" "50" "155" "0" "2012" "2130" "0.0488" "0.0167" "0.1398" "0.1257" "0.0855" "0.1007" "0.1469" "0.1034" "0.092" "0.1406"
"82" "seq107" "4483149" "7" "3733946" "0.63156611569234" "4823" "58" "344" "0" "1894" "2417" "0.0476" "0.0169" "0.1369" "0.127" "0.0809" "0.1038" "0.1444" "0.1017" "0.0886" "0.1522"
"83" "seq106" "4529117" "3" "4076007" "0.633558373519607" "4762" "53" "83" "282" "1970" "2342" "0.0481" "0.0158" "0.1424" "0.1264" "0.0809" "0.1008" "0.1491" "0.0972" "0.0885" "0.1508"
"84" "seq83" "3912050" "2" "3546604" "0.624988368656828" "4329" "50" "78" "0" "1952" "1941" "0.0486" "0.0166" "0.1397" "0.1263" "0.0852" "0.1013" "0.1465" "0.1038" "0.0915" "0.1406"
"85" "seq93" "3853673" "64" "231589" "0.62602320333487" "4283" "49" "0" "0" "1986" "1855" "0.0488" "0.0164" "0.1404" "0.1268" "0.0846" "0.1008" "0.1468" "0.1034" "0.091" "0.141"
"86" "seq104" "3820957" "244" "37735" "0.624969346684613" "4350" "51" "0" "0" "1970" "1894" "0.0491" "0.0167" "0.1402" "0.1269" "0.0844" "0.1005" "0.1462" "0.1034" "0.0919" "0.1406"
"87" "seq88" "3785845" "55" "96528" "0.65248603680288" "3808" "40" "0" "0" "1778" "1770" "0.05" "0.0141" "0.1529" "0.1383" "0.0728" "0.1026" "0.1531" "0.0941" "0.0721" "0.1499"
"88" "seq82" "4962262" "3" "4496051" "0.65945274935211" "4915" "54" "154" "116" "1910" "2548" "0.0473" "0.0128" "0.1549" "0.1387" "0.0768" "0.103" "0.1537" "0.095" "0.0662" "0.1516"
"89" "seq168" "4353888" "2" "4234359" "0.683699741977389" "4449" "50" "52" "0" "1941" "2011" "0.0345" "0.0112" "0.1578" "0.14" "0.0924" "0.1041" "0.1453" "0.0979" "0.0507" "0.166"
"90" "seq169" "4354848" "2" "4235314" "0.684060394478512" "4368" "50" "34" "0" "1941" "2003" "0.0344" "0.0112" "0.158" "0.1401" "0.0924" "0.104" "0.1452" "0.0977" "0.0506" "0.1662"
"91" "seq170" "3086309" "19" "379575" "0.682631907563371" "2944" "48" "0" "334" "1676" "1022" "0.0471" "0.0099" "0.1525" "0.1406" "0.0728" "0.0943" "0.1435" "0.098" "0.056" "0.1852"
"92" "seq162" "4711496" "74" "348697" "0.65235649144136" "4723" "54" "0" "0" "1931" "2355" "0.0437" "0.0123" "0.1428" "0.1339" "0.0846" "0.092" "0.1323" "0.1071" "0.0836" "0.1677"
"93" "seq102" "4345403" "5" "4130213" "0.63696646778216" "4389" "52" "104" "0" "1903" "2066" "0.0485" "0.014" "0.138" "0.125" "0.0803" "0.0938" "0.1414" "0.1018" "0.0918" "0.1653"
"94" "seq163" "5192607" "103" "171830" "0.638489534925374" "5424" "51" "0" "24" "1963" "2851" "0.0458" "0.0131" "0.1361" "0.1262" "0.0867" "0.093" "0.1356" "0.1095" "0.0902" "0.1638"
"95" "seq1" "6792213" "91" "145054" "0.682448412570441" "7012" "48" "0" "0" "2362" "3701" "0.0352" "0.0102" "0.1595" "0.1318" "0.0923" "0.0946" "0.1473" "0.0895" "0.0603" "0.1794"
"96" "seq164" "5122378" "54" "304224" "0.705846397603608" "4987" "54" "0" "0" "2383" "1893" "0.0327" "0.0089" "0.1669" "0.1417" "0.0886" "0.101" "0.15" "0.0872" "0.0391" "0.1839"
"97" "seq165" "5245321" "56" "220202" "0.717784235881013" "5135" "47" "0" "0" "2501" "1820" "0.0291" "0.0083" "0.1705" "0.1447" "0.09" "0.0994" "0.146" "0.085" "0.0347" "0.1924"
"98" "seq166" "5353455" "292" "142509" "0.700700800004185" "5525" "51" "0" "0" "2297" "2469" "0.032" "0.0102" "0.1449" "0.1314" "0.0888" "0.1031" "0.1384" "0.0971" "0.0434" "0.2107"
"99" "seq30" "3194673" "469" "9678" "0.625558515363618" "3514" "22" "0" "0" "1742" "1234" "0.0495" "0.0161" "0.1464" "0.1233" "0.1023" "0.0917" "0.1482" "0.1126" "0.0815" "0.1285"
"100" "seq48" "2965544" "586" "6258" "0.624749825561799" "3388" "25" "0" "0" "1651" "1203" "0.0497" "0.0161" "0.1462" "0.1232" "0.1023" "0.0915" "0.1482" "0.1129" "0.0821" "0.128"
"101" "seq71" "2642145" "681" "4012" "0.66653370229998" "3395" "24" "0" "14" "1361" "1594" "0.0384" "0.0112" "0.1434" "0.1307" "0.0912" "0.0882" "0.1281" "0.1058" "0.0772" "0.1858"
"102" "seq10" "4781876" "173" "51156" "0.679236140794952" "4853" "39" "0" "0" "2069" "1978" "0.0409" "0.0109" "0.1473" "0.1303" "0.0885" "0.0991" "0.1459" "0.1015" "0.0514" "0.1841"
"103" "seq11" "4463787" "661" "7856" "0.664988047144723" "5167" "36" "0" "0" "1846" "2564" "0.0392" "0.0124" "0.1369" "0.1202" "0.097" "0.1022" "0.1457" "0.1072" "0.0573" "0.1819"
"104" "seq12" "3569941" "544" "8208" "0.66481381988344" "4043" "32" "0" "0" "1701" "1780" "0.0399" "0.0117" "0.136" "0.1191" "0.0949" "0.0993" "0.1444" "0.1062" "0.0611" "0.1873"
"105" "seq13" "3319295" "827" "4235" "0.703597426544334" "3954" "23" "0" "0" "1601" "1751" "0.0318" "0.0081" "0.1545" "0.134" "0.0956" "0.0955" "0.1396" "0.0988" "0.0417" "0.2004"
"106" "seq14" "4886668" "179" "41891" "0.712761293644793" "5106" "38" "0" "0" "1929" "2454" "0.0294" "0.0084" "0.1524" "0.1361" "0.0932" "0.0964" "0.1338" "0.098" "0.0388" "0.2135"
"107" "seq17" "3577379" "649" "6513" "0.71422312279759" "4159" "27" "0" "0" "1655" "1977" "0.0283" "0.0086" "0.1539" "0.1384" "0.0942" "0.0959" "0.1312" "0.0984" "0.039" "0.2121"
"108" "seq19" "3876638" "105" "59287" "0.691586470494757" "3838" "39" "0" "48" "1825" "1625" "0.0331" "0.01" "0.1588" "0.1305" "0.0988" "0.0868" "0.1381" "0.0937" "0.0566" "0.1936"
"109" "seq21" "5130386" "233" "36657" "0.656596367055178" "5183" "41" "0" "0" "2120" "2296" "0.0407" "0.0128" "0.1361" "0.1147" "0.0995" "0.0997" "0.1491" "0.106" "0.0628" "0.1787"
"110" "seq25" "5242144" "545" "14870" "0.674265773068986" "5854" "40" "0" "8" "2060" "2868" "0.0373" "0.0119" "0.1386" "0.1233" "0.0983" "0.0984" "0.1391" "0.1084" "0.0544" "0.1904"
"111" "seq27" "5632149" "430" "22020" "0.660965578388586" "6045" "45" "0" "0" "2150" "2865" "0.0396" "0.0122" "0.1368" "0.1157" "0.0996" "0.0998" "0.1482" "0.1059" "0.0605" "0.1817"
"112" "seq29" "4806598" "558" "11482" "0.662194097991049" "5267" "31" "0" "0" "1914" "2432" "0.0394" "0.0118" "0.1379" "0.116" "0.0996" "0.0992" "0.1487" "0.1052" "0.0602" "0.1819"
"113" "seq31" "4397224" "548" "11253" "0.646077035537357" "4781" "28" "0" "0" "1878" "2212" "0.0433" "0.0138" "0.133" "0.112" "0.0991" "0.0989" "0.1495" "0.1075" "0.0693" "0.1737"
"114" "seq42" "6265900" "1554" "4644" "0.637854647736148" "7957" "34" "0" "0" "1963" "4825" "0.0435" "0.016" "0.1285" "0.111" "0.1" "0.103" "0.148" "0.1099" "0.0722" "0.1679"
"115" "seq50" "3942232" "982" "4505" "0.693393831454946" "4552" "24" "0" "0" "1820" "2006" "0.0361" "0.0092" "0.1491" "0.1277" "0.0927" "0.0976" "0.1459" "0.0982" "0.0441" "0.1993"
"116" "seq15" "4535280" "286" "23550" "0.724294800823964" "4614" "37" "0" "0" "1954" "2007" "0.0214" "0.008" "0.1556" "0.1423" "0.099" "0.0939" "0.1206" "0.0992" "0.04" "0.2201"
"117" "seq16" "3642260" "311" "18238" "0.701609260929967" "3818" "34" "0" "0" "1744" "1590" "0.0291" "0.0091" "0.1482" "0.1322" "0.101" "0.0911" "0.1272" "0.105" "0.048" "0.209"
"118" "seq18" "4942379" "284" "30002" "0.69439959557087" "5239" "37" "0" "0" "1960" "2476" "0.029" "0.0102" "0.1467" "0.1299" "0.1021" "0.096" "0.1316" "0.1042" "0.0494" "0.2008"
"119" "seq20" "3280544" "270" "16874" "0.661707587430873" "3473" "33" "0" "0" "1652" "1418" "0.0383" "0.0109" "0.1343" "0.1172" "0.0999" "0.0904" "0.135" "0.1102" "0.0713" "0.1925"
"120" "seq22" "5694266" "208" "50315" "0.648563945556247" "5862" "42" "0" "0" "2272" "2538" "0.0438" "0.0136" "0.1283" "0.1169" "0.0952" "0.0978" "0.1395" "0.114" "0.0708" "0.1801"
"121" "seq23" "3836498" "963" "4264" "0.67284950483415" "4844" "28" "0" "0" "1685" "2452" "0.038" "0.0116" "0.1378" "0.1229" "0.0979" "0.1011" "0.1426" "0.1094" "0.0521" "0.1867"
"122" "seq24" "3567018" "329" "12936" "0.685002427608599" "3821" "24" "0" "0" "1643" "1629" "0.0354" "0.0098" "0.1413" "0.1267" "0.0941" "0.1009" "0.1411" "0.105" "0.0493" "0.1965"
"123" "seq26" "3783488" "574" "8346" "0.70318497256186" "4294" "24" "0" "0" "1760" "1854" "0.0324" "0.0094" "0.1481" "0.1352" "0.091" "0.0992" "0.1351" "0.1012" "0.0418" "0.2067"
"124" "seq32" "3844366" "427" "12324" "0.666726787595621" "4100" "27" "0" "0" "1755" "1744" "0.0402" "0.0107" "0.1383" "0.1221" "0.0988" "0.0962" "0.142" "0.1121" "0.0578" "0.1818"
"125" "seq33" "4569629" "857" "6310" "0.697232526013835" "5226" "27" "0" "0" "1920" "2267" "0.0333" "0.0093" "0.1503" "0.1369" "0.0955" "0.0975" "0.135" "0.1061" "0.0431" "0.193"
