"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"Psychroglaciecola_arctica__M6-76__KC511070" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Psychroglaciecola"
"Rhabdaerophilum_calidifontis__SYSU_G02060__MN561030" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_Incertae_Sedis" "Phreatobacter"
"Rhodoblastus_acidophilus__DSM_137__FR733696" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Rhodoblastus"
"Roseiarcus_fermentans__Pf56__KJ406703" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Roseiarcus"
"Terripilifer_ovatus__H3SJ34-1__OQ543116" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA
"Terrirubrum_flagellatum__7MK25__MT904663" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" NA NA
"Methylocystis_parva__OBBP__Y18945" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylocystis"
"Methylosinus_trichosporium__OB3b__Y18947" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylosinus"
"Albibacter_methylovorans__DM10__AF273213" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylopilaceae" "Albibacter"
"Chenggangzhangella_methanolivorans__CHL1__KF726142" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylopilaceae" NA
"Hansschlegelia_plantiphila__VKM_B-2347__MT760665" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylopilaceae" "Hansschlegelia"
"Methylopila_capsulata__IM1__AF004844" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylopilaceae" NA
"Terrihabitans_soli__IZ_6__AP023361" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "D05-2" NA
"Agaricicola_taiwanensis__CC-SBABM117__FJ594057" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Stappiaceae" "Agaricicola"
"Phreatobacter_oligotrophus__PI_21__HE616165" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_Incertae_Sedis" "Phreatobacter"
"RH_AL1" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylocella"
"JAJXWB01" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA
