"Hyphomicrobiales_RHAL1_NA" "Hyphomicrobiales_Methylobacteriaceae_Methylobacterium" "Hyphomicrobiales_Lichenihabitantaceae_Lichenifustis" "Hyphomicrobiales_Lichenihabitantaceae_Lichenibacterium" "Hyphomicrobiales_NA_NA" "Hyphomicrobiales_JAJXWB01_NA" "Caulobacterales_Caulobacteraceae_NA" "Hyphomicrobiales_Lichenihabitantaceae_NA" "Hyphomicrobiales_Rhodoblastaceae_Rhodoblastus" "Hyphomicrobiales_Methylobacteriaceae_NA" "Caulobacterales_Caulobacteraceae_Brevundimonas" "Hyphomicrobiales_Bradyrhizobiaceae_Tardiphaga" "Caulobacterales_Caulobacteraceae_Phenylobacterium" "Hyphomicrobiales_Methylobacteriaceae_Enterovirga" "Rhodospirillales_Acetobacteraceae_NA" "Hyphomicrobiales_Hyphomicrobiaceae_NA" "NA_NA_NA" "Hyphomicrobiales_Aurantimonadaceae_NA" "Hyphomicrobiales_Beijerinckiaceae_NA" "Hyphomicrobiales_Rhizobiaceae_Rhizobium" "Hyphomicrobiales_Bradyrhizobiaceae_Bradyrhizobium" "Rhodospirillales_NA_NA" "Hyphomicrobiales_Methylocystaceae_NA" "Hyphomicrobiales_Hyphomicrobiaceae_Devosia" "Hyphomicrobiales_Phyllobacteriaceae_Mesorhizobium" "Hyphomicrobiales_Aurantimonadaceae_Aureimonas" "Hyphomicrobiales_Brucellaceae_Ochrobactrum" "Hyphomicrobiales_Phyllobacteriaceae_NA" "Hyphomicrobiales_Bradyrhizobiaceae_NA" "Caulobacterales_Caulobacteraceae_Caulobacter" "Hyphomicrobiales_Methylocystaceae_Methylocystis" "Sphingomonadales_Sphingomonadaceae_Sphingomonas" "Hyphomicrobiales_Methylobacteriaceae_Microvirga" "Caulobacterales_NA_NA" "Rhodospirillales_Acetobacteraceae_Roseomonas" "Hyphomicrobiales_Boseaceae_Bosea" "Hyphomicrobiales_Rhizobiaceae_Shinella" "Hyphomicrobiales_Bradyrhizobiaceae_Afipia"
"SBL.02.06.A" 955 391 8 1014 466 0 44 14 0 28 28 0 11 17 2 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.05.C" 605 946 76 847 325 0 8 21 0 87 0 0 5 0 10 0 11 0 26 0 0 3 0 11 0 0 0 0 19 0 0 0 0 0 0 0 0 0
"MSH.04.05.E" 465 815 141 971 398 0 24 0 0 27 0 0 14 20 12 0 28 0 6 0 0 3 12 11 0 5 0 31 9 0 2 0 0 6 0 0 0 0
"MSH.02.01.E" 333 1332 285 280 540 0 18 15 0 69 0 2 0 13 4 0 3 1 1 0 0 0 0 14 34 45 0 11 0 0 0 0 0 0 0 0 0 0
"MSH.02.06.G" 409 1378 177 546 267 0 17 0 0 33 0 0 0 0 0 0 3 0 3 0 165 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.06.E" 845 344 24 1124 415 12 109 17 11 25 22 0 3 9 0 0 39 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.08.G" 603 658 56 1385 60 7 158 17 0 0 47 0 0 3 0 0 0 0 1 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.02.E" 664 1012 158 416 520 0 84 0 0 16 1 0 0 16 11 0 11 0 0 4 0 16 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.02.04.E" 550 1142 261 442 363 0 24 11 0 0 18 0 25 0 4 0 0 36 0 0 26 0 8 7 33 0 0 0 33 0 0 0 0 0 0 0 0 17
"SBL.04.10.A" 468 511 12 1450 391 0 108 26 1 18 4 0 0 10 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.05.C" 996 415 44 908 442 0 62 44 4 40 18 0 0 8 3 0 2 2 0 0 0 0 0 8 0 4 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.07.G" 504 1471 105 582 264 0 22 3 0 14 1 0 0 4 3 0 14 0 2 1 0 0 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.06.04.E" 417 982 30 1301 166 0 21 27 0 31 0 0 6 2 0 0 2 0 0 0 3 4 0 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.01.A" 770 517 45 1171 360 0 66 12 0 4 0 0 19 0 3 0 11 3 0 0 5 10 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.05.E" 587 1109 279 529 394 0 25 17 0 23 4 0 0 0 7 0 6 0 14 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.09.C" 741 75 21 1570 364 40 68 9 5 52 36 0 0 15 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.01.B" 822 180 51 1205 485 0 183 0 0 25 8 0 0 0 0 0 11 0 15 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0
"MSH.03.01.F" 559 804 149 598 466 0 240 0 0 106 29 0 0 18 0 0 18 0 8 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"MSH.01.01.G" 403 1207 26 1123 172 0 17 15 0 18 0 0 4 1 1 0 2 0 0 0 0 0 0 3 0 6 0 0 2 0 0 0 0 0 0 0 0 0
"SBL.03.07.C" 910 181 8 1315 381 0 107 16 8 6 50 0 2 6 2 0 5 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SBL.03.10.C" 1118 217 9 1111 253 2 152 12 6 4 56 0 2 1 16 0 37 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.02.C" 706 197 45 1194 397 0 77 47 23 0 133 0 0 0 12 0 89 0 3 0 56 0 0 0 0 18 0 0 0 0 3 0 0 0 0 0 0 0
"MSH.03.01.G" 319 1142 454 299 739 0 11 3 0 21 0 0 0 3 0 0 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 0
"MSH.01.02.A" 613 791 53 935 507 0 36 0 0 19 0 0 0 0 0 0 13 0 0 0 0 0 14 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0
"SBL.02.04.H" 683 163 22 1565 262 0 88 4 0 4 171 0 0 0 20 0 15 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.04.04.E" 51 1894 270 504 113 0 56 3 0 11 3 0 0 0 5 0 71 0 0 0 0 0 2 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.07.G" 623 235 23 1692 114 5 106 39 5 11 113 0 0 6 0 0 9 0 9 0 2 7 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SBL.01.03.A" 963 225 99 785 414 0 187 139 0 13 50 0 5 0 2 0 0 0 52 0 59 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0
"MSH.04.02.C" 764 710 64 486 731 0 166 0 0 68 0 0 0 0 8 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.04.A" 585 298 40 921 767 0 221 6 2 0 61 0 0 0 3 0 1 0 12 0 0 3 33 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0
"MSH.04.04.C" 607 1137 217 498 431 0 33 0 0 8 6 0 2 2 5 0 43 4 0 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.03.G" 238 1490 339 465 388 0 18 3 0 10 0 0 0 1 15 0 8 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 20 0 0 0
"SBL.02.02.G" 546 321 86 1562 293 0 61 14 0 8 81 0 5 0 2 0 4 0 4 0 3 4 0 0 0 3 0 0 0 0 3 0 0 0 0 0 0 0
"MSH.03.03.C" 508 1095 392 304 598 0 28 0 0 17 0 0 0 8 4 0 13 0 0 0 6 2 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.07.G" 1166 227 11 1028 342 0 127 17 18 12 32 0 3 6 0 0 10 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.03.A" 839 54 21 1336 386 0 105 0 0 0 105 0 0 0 1 0 0 0 128 0 19 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
"MSH.04.03.E" 173 1554 571 308 355 0 14 5 0 5 0 0 0 2 8 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.10.A" 927 163 12 1098 579 13 55 15 22 58 30 0 3 18 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.02.C" 632 822 46 1184 220 0 10 5 2 20 1 0 11 5 0 0 10 0 0 0 29 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.06.04.G" 301 1150 18 1326 153 0 27 2 0 4 0 0 7 6 4 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.04.F" 308 1539 240 569 296 0 16 1 0 16 0 0 0 1 0 0 2 5 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.02.E" 893 441 53 1066 280 3 154 11 0 7 55 0 22 10 1 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"SBL.03.03.C" 626 354 2 1407 375 0 125 10 0 38 35 0 1 23 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.04.04.G" 552 968 200 750 407 0 58 0 0 6 1 0 0 0 1 0 0 0 2 0 0 0 45 0 4 0 0 0 0 0 0 0 0 6 0 0 0 0
"MSH.04.05.G" 153 1099 671 328 411 0 283 0 0 4 7 0 0 0 4 0 0 0 0 3 1 0 3 0 3 29 0 0 0 0 0 1 0 0 0 0 0 0
"MSH.03.03.E" 581 1117 199 367 614 0 32 0 0 52 0 0 0 0 6 0 0 0 0 0 11 0 0 17 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"SBL.03.07.E" 977 238 10 1228 341 1 106 11 7 20 51 0 4 2 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"MSH.04.06.E" 160 1287 358 812 266 0 17 6 0 28 0 0 0 0 8 0 0 0 0 0 23 0 4 15 16 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.09.G" 338 1414 39 729 254 0 47 16 0 0 11 0 0 0 0 0 0 15 1 0 0 0 0 0 0 29 0 0 0 0 0 107 0 0 0 0 0 0
"MSH.02.01.G" 333 1611 246 326 411 0 26 0 0 11 0 0 0 0 2 0 0 0 0 4 0 0 2 5 6 15 0 0 0 0 0 2 0 0 0 0 0 0
"MSH.05.02.C" 109 1339 526 288 494 0 24 7 0 175 0 0 0 0 3 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0
"SBL.01.04.G" 429 512 60 1676 208 1 64 9 0 12 10 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 15 0 0 0 0 0 0
"SBL.03.10.E" 1051 326 11 1133 301 1 101 27 7 6 23 0 3 2 0 0 7 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.05.A" 710 338 92 1257 378 0 85 24 0 4 20 0 2 1 1 0 3 0 32 9 44 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.09.A" 478 444 21 1211 424 43 128 118 43 33 32 0 0 1 0 0 0 0 0 0 22 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.08.A" 624 235 44 1342 323 0 292 0 0 0 92 0 15 0 5 0 7 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.06.02.C" 466 732 157 827 531 0 109 4 2 51 0 0 16 23 10 0 26 0 0 0 45 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SBL.04.01.G" 502 689 37 803 467 0 299 28 0 69 61 0 0 33 0 0 7 0 1 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.05.G" 744 989 188 656 353 0 32 4 0 17 0 0 0 6 0 0 0 0 1 0 2 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.09.E" 470 584 123 1141 441 6 83 36 12 3 0 0 9 0 3 0 7 26 17 0 0 7 0 0 0 12 0 0 0 0 0 20 0 0 0 0 0 0
"SBL.04.04.C" 1020 117 3 1121 441 30 97 11 0 34 96 0 0 20 0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"MSH.05.07.C" 95 1594 454 471 306 0 1 0 0 27 0 0 0 0 6 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.04.A" 674 882 311 407 585 0 70 0 0 38 0 0 0 13 0 0 0 0 0 0 0 0 0 16 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"SBL.03.03.E" 861 311 5 1185 405 4 107 20 10 44 25 0 1 17 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.03.D" 684 880 164 442 540 0 67 0 0 38 0 0 0 28 1 0 4 0 4 69 0 0 0 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.04.01.E" 244 1567 112 584 348 0 48 16 0 49 0 0 0 4 7 0 0 0 13 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.03.01.E" 793 849 513 259 418 0 60 0 0 72 0 0 7 6 4 0 2 3 0 0 7 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.10.C" 626 407 9 1194 463 2 121 29 30 76 5 0 1 32 0 0 0 0 2 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.03.C" 1168 113 78 932 481 0 85 15 0 42 21 0 26 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0
"SBL.02.01.D" 612 80 0 1445 364 0 214 0 0 27 108 0 0 36 0 0 0 0 20 0 0 21 0 0 0 43 0 0 0 0 30 0 0 0 0 0 0 0
"MSH.03.01.C" 495 1161 455 292 445 0 59 4 0 80 0 0 0 0 2 0 0 0 0 1 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"SBL.03.08.C" 738 173 30 1043 525 45 217 56 8 0 82 0 0 0 1 0 6 0 22 0 24 2 0 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.02.04.G" 230 1742 260 478 262 0 8 1 0 13 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0
"SBL.02.02.A" 503 456 70 1096 365 0 253 61 0 31 54 0 0 0 1 0 2 0 45 0 0 0 0 0 0 0 0 0 0 18 0 0 0 45 0 0 0 0
"MSH.06.06.G" 224 1081 17 1492 162 0 12 0 0 6 0 0 0 3 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.06.C" 571 1076 35 705 456 0 83 29 1 21 5 0 4 3 5 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.09.E" 891 306 8 1023 439 0 167 22 8 49 60 0 0 24 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.01.05.E" 177 1159 52 1397 147 0 37 2 0 5 0 0 6 1 5 0 0 0 0 0 0 0 0 3 5 4 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.07.A" 958 159 18 1466 213 0 64 21 34 2 28 0 0 12 0 0 4 18 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.04.C" 642 498 29 1313 268 0 138 0 0 10 0 7 13 0 0 0 1 0 5 4 64 0 0 7 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SBL.02.01.A" 705 251 52 1373 182 0 236 4 0 0 122 0 0 0 39 0 0 0 7 0 16 10 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"SBL.03.03.G" 568 250 2 1279 487 0 146 15 5 42 116 0 0 53 3 0 22 0 8 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.03.03.G" 483 1233 156 771 315 0 14 0 0 12 1 0 0 0 5 0 2 0 0 1 2 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0
"SBL.04.07.E" 479 143 17 1778 260 2 141 2 1 11 128 0 0 6 3 0 5 0 10 0 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.04.01.G" 246 1704 325 393 237 0 4 0 0 17 1 0 0 1 1 0 0 19 1 4 0 0 0 0 1 43 0 0 0 0 0 0 0 3 0 0 0 0
"SBL.02.01.E" 937 394 21 1164 332 0 65 4 2 7 45 0 0 8 4 0 1 3 0 0 8 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SBL.03.01.E" 839 478 13 973 481 0 83 40 0 28 17 0 2 7 0 0 0 0 2 0 0 0 1 20 0 12 0 0 0 0 0 0 0 4 0 0 0 0
"SBL.01.03.G" 1102 235 34 1153 239 110 39 41 0 11 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"SBL.03.10.G" 913 277 4 1213 334 0 159 15 4 19 33 0 7 0 13 0 1 0 4 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"MSH.04.03.G" 42 1242 292 1218 177 0 11 0 0 3 2 0 0 0 7 0 0 0 0 0 0 0 1 3 1 0 0 0 0 0 0 1 0 0 0 0 0 0
"MSH.04.02.E" 277 1179 416 524 440 0 40 0 0 6 2 0 0 41 33 0 0 0 0 0 13 7 9 0 0 0 0 0 10 0 0 3 0 0 0 0 0 0
"MSH.04.02.G" 429 1302 262 443 482 0 32 0 0 0 0 0 0 0 8 0 4 0 0 0 0 3 17 4 0 3 0 0 0 0 0 11 0 0 0 0 0 0
"MSH.01.04.G" 802 1052 133 644 250 0 10 8 0 46 1 0 0 7 3 0 4 0 0 0 0 0 0 25 0 9 0 0 5 0 0 1 0 0 0 0 0 0
"MSH.03.02.C" 482 876 489 433 610 0 26 10 0 25 0 0 0 0 3 0 4 0 15 0 18 0 2 6 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"SBL.02.03.G" 743 98 8 1603 183 0 134 9 1 12 191 0 0 2 1 0 0 0 2 4 4 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0
"MSH.06.02.E" 269 1085 38 1320 197 0 31 0 1 14 1 0 0 4 3 0 0 0 1 0 0 3 6 11 0 0 0 16 0 0 0 0 0 0 0 0 0 0
"SBL.03.08.E" 853 177 46 1438 241 1 75 34 57 15 46 0 0 10 3 0 0 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.06.A" 447 235 9 1956 204 10 69 17 8 21 11 0 2 3 0 0 4 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.05.C" 518 920 374 715 413 0 23 0 0 11 4 0 0 0 11 0 0 0 0 7 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.07.G" 806 445 24 1197 318 0 138 26 9 11 14 0 1 8 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.03.01.C" 717 358 26 1171 462 0 88 41 7 37 75 0 0 1 4 0 0 5 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.06.G" 720 340 12 1000 505 19 240 27 31 38 25 0 4 21 1 0 5 0 6 0 0 0 0 3 0 0 0 0 0 0 1 2 0 0 0 0 0 0
"MSH.05.01.E" 87 650 184 726 732 0 164 13 0 96 3 0 34 1 2 0 17 0 114 1 24 0 0 4 0 0 0 147 0 0 0 0 0 1 0 0 0 0
"SBL.04.10.E" 631 841 26 1037 307 0 99 33 0 3 2 0 0 8 2 0 4 0 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.05.C" 869 318 65 1376 226 0 82 4 6 2 29 0 0 0 4 0 0 0 5 0 0 5 0 3 0 0 0 0 0 0 0 0 0 6 0 0 0 0
"SBL.04.09.C" 728 127 97 1264 337 252 92 7 6 2 85 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.02.06.C" 82 880 336 268 473 0 2 20 0 128 105 0 0 0 1 392 0 49 0 0 0 0 0 21 162 0 0 36 0 0 0 0 0 0 0 27 18 0
"SBL.04.08.C" 670 303 76 965 668 0 111 25 0 70 92 0 0 3 1 0 2 0 0 0 0 1 0 0 0 0 0 0 5 8 0 0 0 0 0 0 0 0
"MSH.02.04.A" 650 625 21 600 406 0 212 0 0 0 0 43 145 34 0 0 98 0 0 0 0 0 0 0 99 0 0 0 0 0 0 0 67 0 0 0 0 0
"SBL.03.05.G" 752 875 21 728 367 0 88 39 3 30 12 0 0 1 4 0 0 11 4 0 4 0 0 19 0 37 0 3 0 0 1 0 0 1 0 0 0 0
"SBL.03.09.G" 804 218 7 1117 484 0 151 18 19 71 72 0 3 19 3 0 8 0 2 0 1 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.02.F" 623 192 28 1480 259 0 158 4 10 10 137 0 0 2 2 0 0 0 9 79 0 4 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"SBL.03.07.H" 829 243 33 1204 366 16 217 18 13 2 49 0 4 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"SBL.02.03.C" 918 138 81 1285 304 0 111 17 2 0 122 0 0 0 8 0 0 0 2 0 0 10 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"MSH.04.01.A" 346 934 463 547 388 0 69 40 0 64 0 0 0 0 5 0 16 0 6 8 0 0 0 0 38 34 0 38 0 0 0 4 0 0 0 0 0 0
"MSH.04.05.A" 507 268 386 953 699 0 54 42 0 8 0 0 0 0 9 0 26 0 0 0 0 1 21 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.03.E" 933 214 54 1407 215 6 73 20 1 1 59 0 4 2 0 0 3 0 3 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.10.C" 889 223 17 981 487 0 112 36 3 157 38 0 14 32 2 0 0 2 1 0 0 0 0 3 1 0 0 0 0 0 2 0 0 0 0 0 0 0
"MSH.01.01.C" 277 622 65 857 420 0 42 16 0 4 0 34 3 0 4 0 6 0 84 43 458 0 0 4 0 0 0 0 58 0 0 3 0 0 0 0 0 0
"SBL.04.03.G" 649 366 29 1657 99 5 99 18 4 3 51 0 0 7 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0
"SBL.02.02.C" 750 127 303 1165 284 4 244 13 0 2 69 0 0 0 9 0 17 0 6 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.05.04.E" 175 1380 296 873 228 0 20 3 0 4 0 0 0 0 4 0 0 0 0 2 0 0 4 3 0 0 0 0 0 0 2 6 0 0 0 0 0 0
"MSH.01.02.E" 262 1010 23 1528 125 0 8 2 0 5 0 0 8 1 11 0 0 0 0 0 0 8 1 5 0 0 0 0 1 0 0 2 0 0 0 0 0 0
